source,title,url,timestamp,status,word_count,options
Wikipedia Main Article,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,2025-10-04T14:15:26.242832,success,7295.0,
Wikipedia Related Article,"Tesla, Inc.","https://en.wikipedia.org/wiki/Tesla,_Inc.",2025-10-04T14:15:30.047232,success,14125.0,
Wikipedia Related Article,Space,https://en.wikipedia.org/wiki/Space,2025-10-04T14:15:33.508262,success,3566.0,
Wikipedia Related Article,PayPal,,2025-10-04T14:15:35.379571,not_found,,
Wikipedia Related Article,Neuralink,,2025-10-04T14:15:37.062571,not_found,,
Wikipedia Related Article,The Boring Company,,2025-10-04T14:15:38.941000,not_found,,
Wikipedia Related Article,X Corp.,,2025-10-04T14:15:40.728388,not_found,,
Wikipedia Related Article,SolarCity,,2025-10-04T14:15:42.821705,not_found,,
Wikipedia Related Article,Hyperloop,https://en.wikipedia.org/wiki/Hyperloop,2025-10-04T14:15:47.940055,success,5825.0,
Wikipedia Related Article,Starlink,,2025-10-04T14:15:51.526746,disambiguation,,"['StarLink corn', 'Starlink Project', 'Subaru', 'Starlink Aviation', 'Starlink: Battle for Atlas', 'St Andrews Rail Link', 'Star topology', 'Starnet (disambiguation)']"
Wikipedia Related Article,Tesla Roadster (first generation),https://en.wikipedia.org/wiki/Tesla_Roadster_(first_generation),2025-10-04T14:15:55.399534,success,7987.0,
Wikipedia Related Article,"Tesla, Inc.","https://en.wikipedia.org/wiki/Tesla,_Inc.",2025-10-04T14:16:00.225222,success,14125.0,
Wikipedia Related Article,Falcon 1,https://en.wikipedia.org/wiki/Falcon_1,2025-10-04T14:16:04.113163,success,3464.0,
Wikipedia Related Article,SpaceX Starship,https://en.wikipedia.org/wiki/SpaceX_Starship,2025-10-04T14:16:08.507974,success,10469.0,
Wikipedia Related Article,Colonization of Mars,https://en.wikipedia.org/wiki/Colonization_of_Mars,2025-10-04T14:16:12.515808,success,7792.0,
Wikipedia Additional Article,Single-letter second-level domain,https://en.wikipedia.org/wiki/Single-letter_second-level_domain,2025-10-04T14:17:01.704641,success,842.0,
Wikipedia Additional Article,Zip2,https://en.wikipedia.org/wiki/Zip2,2025-10-04T14:17:04.206602,success,590.0,
Wikipedia Additional Article,Tesla Autopilot,https://en.wikipedia.org/wiki/Tesla_Autopilot,2025-10-04T14:17:07.564763,success,11990.0,
Wikipedia Additional Article,Tesla Cybertruck,https://en.wikipedia.org/wiki/Tesla_Cybertruck,2025-10-04T14:17:10.891310,success,3914.0,
Wikipedia Additional Article,Gigafactory,https://en.wikipedia.org/wiki/Gigafactory,2025-10-04T14:17:15.604640,success,384.0,
Wikipedia Additional Article,Falcon Heavy,https://en.wikipedia.org/wiki/Falcon_Heavy,2025-10-04T14:17:19.032133,success,4888.0,
Wikipedia Additional Article,SpaceX Dragon 2,https://en.wikipedia.org/wiki/SpaceX_Dragon_2,2025-10-04T14:17:23.475302,success,3781.0,
Wikipedia Additional Article,SpaceX Starship,https://en.wikipedia.org/wiki/SpaceX_Starship,2025-10-04T14:17:26.728874,success,10469.0,
Wikipedia Additional Article,Crew Dragon Demo-2,https://en.wikipedia.org/wiki/Crew_Dragon_Demo-2,2025-10-04T14:17:30.036011,success,3125.0,
Wikipedia Additional Article,OpenAI,https://en.wikipedia.org/wiki/OpenAI,2025-10-04T14:17:33.318440,success,5994.0,
Wikipedia Additional Article,Artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence,2025-10-04T14:17:36.814327,success,13590.0,
Wikipedia Additional Article,Electric vehicle,https://en.wikipedia.org/wiki/Electric_vehicle,2025-10-04T14:17:40.371582,success,8288.0,
Wikipedia Additional Article,Sustainable energy,https://en.wikipedia.org/wiki/Sustainable_energy,2025-10-04T14:17:43.618538,success,7082.0,
Wikipedia Additional Article,Private spaceflight,https://en.wikipedia.org/wiki/Private_spaceflight,2025-10-04T14:17:48.113887,success,6120.0,
Wikipedia Additional Article,Private spaceflight,https://en.wikipedia.org/wiki/Private_spaceflight,2025-10-04T14:17:51.332936,success,6120.0,
Wikipedia Additional Article,Mars Society,https://en.wikipedia.org/wiki/Mars_Society,2025-10-04T14:17:54.518190,success,2590.0,
