title,status,word_count,timestamp
SpaceX Starship,success,10469.0,2025-10-04T15:03:09.166814
SpaceX Falcon 9,success,6137.0,2025-10-04T15:03:13.874288
Tesla Autopilot,success,11990.0,2025-10-04T15:03:18.225828
Tesla Model S,success,6618.0,2025-10-04T15:03:22.278440
Tesla Model 3,success,6314.0,2025-10-04T15:03:26.152919
Tesla Gigafactory,success,384.0,2025-10-04T15:03:30.462974
Neuralink,success,3117.0,2025-10-04T15:03:34.315511
The Boring Company,success,2823.0,2025-10-04T15:03:37.999598
Acquisition of Twitter by Elon Musk,success,8604.0,2025-10-04T15:03:42.608467
Elon Musk's Tesla SEC settlement,not_found,,2025-10-04T15:03:44.451003
The Joe Rogan Experience,success,3603.0,2025-10-04T15:03:48.296425
TED (conference),success,2730.0,2025-10-04T15:03:52.053036
First principles,success,2007.0,2025-10-04T15:03:56.364012
Mars colonization,success,7792.0,2025-10-04T15:04:01.384776
Sustainable energy,success,7082.0,2025-10-04T15:04:05.290581
Artificial general intelligence,success,7270.0,2025-10-04T15:04:08.959476
Jeff Bezos,success,8075.0,2025-10-04T15:04:12.919280
Richard Branson,success,8291.0,2025-10-04T15:04:17.014545
Steve Jobs,success,12499.0,2025-10-04T15:04:21.413349
Electric battery,success,5794.0,2025-10-04T15:04:25.292217
Rocket reusability,not_found,,2025-10-04T15:04:27.081947
Autonomous driving,success,6221.0,2025-10-04T15:04:31.807477
Vertical integration,success,4825.0,2025-10-04T15:04:35.655321
Innovation,success,6415.0,2025-10-04T15:04:39.552674
Disruptive innovation,success,4083.0,2025-10-04T15:04:43.342123
